,fr,ru,ru_opusmt,ru_pred
11126,"Si j'avais su à propos de ta maladie, je t'aurais rendu visite à l'hôpital.","Если бы я знал о твоей болезни, я бы навестил тебя в больнице.","Если бы я знала о твоей болезни, я бы пригласил тебя в больницу.","Если бы я знал о твоем болезни, я бы познакомился с тобой в больнице."
11127,Son ambition ne connaît pas de limites.,Его честолюбие не знает границ.,Его амбиция не знает границ.,Ее цели не имеют границ.
11128,Tu devrais harmoniser tes ambitions avec tes capacités.,Тебе следует соизмерять амбиции с возможностями.,Ты должен увязать свои амбиции со своими способностями.,Ты должна привести свои амбиции в соответствие с способностями.
11129,À qui est ce parapluie ?,Чей это зонтик?,Кому этот зонтик?,Кто этот зонтик?
11131,Est-ce ton parapluie ?,Это твой зонтик?,Это твой зонтик?,Это твой зонтик?
11132,Je vais prendre ce parapluie.,Я возьму этот зонтик.,Я возьму этот зонтик.,Я возьму этот зонтик.
11133,Que lis-tu ?,Что ты читаешь?,Что ты читаешь?,Что ты читаешь?
11134,"À mon avis, ce sera difficile de résoudre ce problème.","На мой взгляд, эту проблему будет сложно решить.","Я считаю, что решение этой проблемы будет трудной задачей.","Я считаю, что решение этой проблемы будет трудно."
11135,Mon cœur s'est arrêté de battre.,Моё сердце перестало биться.,Мое сердце перестало драться.,Мое сердце перестало драться.
11136,Suis juste ton cœur.,Просто следуй за своим сердцем.,Просто следи за своим сердцем.,Просто следи за своим сердцем.
11137,Il a le cœur brisé.,Его сердце разбито.,У него сломано сердце.,Он сломал сердце.
11138,Je ne peux pas soigner un cœur brisé.,Я не могу исцелить разбитое сердце.,Я не могу лечить разбитое сердце.,Я не могу лечить разбитое сердце.
11139,"D'une manière générale, les femmes vivent plus longtemps que les hommes.","Вообще говоря, женщины живут дольше, чем мужчины.","В целом женщины живут дольше, чем мужчины.",В целом женщины живут дольше мужчин.
11140,Ses yeux sont bleus.,У него голубые глаза.,Его глаза голубые.,Его глаза голубые.
11142,Cette poupée a de grands yeux.,У этой куклы большие глаза.,У этой куколки большие глаза.,У куколки большие глаза.
11143,Je ne pouvais pas en croire mes yeux.,Я не мог поверить своим глазам.,Я не могу поверить в глаза.,Не могу поверить в это.
11144,Le médicament sauva sa vie.,Лекарство спасло ему жизнь.,Лекарство спасло свою жизнь.,Лекарство спасло жизнь.
11146,Cela fait une heure que Tom discute au téléphone.,Том уже час по телефону говорит.,Том уже час разговаривал по телефону.,Том уже час разговаривал по телефону.
11148,Pourquoi est-ce que tu t'es levé si tôt ?,Почему ты так рано встал?,Почему ты так рано встала?,Почему ты так рано встала?
11150,Est-ce qu'on peut parler ?,Мы можем поговорить?,Мы можем поговорить?,- Мы можем поговорить?
11151,"Si nécessaire, je viendrai à neuf heures demain.","Если необходимо, я приду завтра в девять.","В случае необходимости, завтра я приду в девять часов.","Если это необходимо, я приду завтра в девять часов."
11152,Merci de m'avoir invité à la fête.,"Спасибо, что пригласил меня на праздник.","Спасибо, что пригласили меня на вечеринку.","Спасибо, что пригласили меня на вечеринку."
11155,Il faisait si sombre.,Было так темно.,Он был таким темным.,Он был таким темным.
11156,"L'un des jumeaux est en vie, mais l'autre est mort.","Один из близнецов жив, но второй умер.","Один из близнецов жив, но другой умер.","Одна из близнецов жива, но другая мертва."
11157,C'est une brillante idée.,Это блестящая идея.,Это блестящая идея.,Это отличная идея.
11158,Nous devons acheter un nouveau tapis pour cette pièce.,Нам надо купить в эту комнату новый ковёр.,Нам нужно купить новый коврик для этой комнаты.,Мы должны коврики для этой комнаты. - Да.
11159,"Quand ce fut le moment de voter, il s'abstint.","Когда пришло время голосовать, он воздержался.","Когда пришло время голосовать, он стесняется.","Когда был момент голосования, он просто стесняется."
11160,Elle est timide et parle peu.,Она застенчива и неразговорчива.,Она стесняется и не говорит.,Она стесняется и не говорит.
11161,Cette bicyclette appartient à mon frère.,Этот велосипед принадлежит моему брату.,Этот велосипед принадлежит моему брату.,Этот велосипед принадлежит моему брату.
11162,Tu peux rester aussi longtemps que tu veux.,Можешь оставаться сколько захочешь.,"Ты можешь остаться так долго, как хочешь.","Ты можешь остаться так долго, как хочешь."
11164,J'ai beaucoup d'amis.,У меня много друзей.,У меня много друзей.,У меня много друзей.
11165,"À Venise, il y a toujours tant de touristes.",В Венеции всегда так много туристов.,В Венеции всегда так много туристов.,В Венеции всегда столько туристов.
11166,Tu cherches ta clé.,Ты ищешь свой ключ.,Ты ищешь ключ.,Ищи ключ.
11167,Mon père a acheté une nouvelle voiture.,Мой отец купил новую машину.,Мой отец купил новую машину.,Мой отец купил новую машину.
11170,Sommes-nous tous sous surveillance ?,Мы все под наблюдением?,Мы все под наблюдением?,Мы все под контролем?
11171,On te réclame au téléphone.,Тебя просят к телефону.,Мы просим тебя по телефону.,Тебя просят по телефону.
11173,J'ai perdu mes lunettes.,Я потерял свои очки.,Я потерял очки.,Я потерял очки.
11174,Apportez-moi des verres s'il vous plaît.,"Принесите мне стаканы, пожалуйста.","Пожалуйста, принесите мне выпивку.",Принесите мне выпивку.
11175,J'ai cassé mes lunettes.,Я разбил свои очки.,Я сломал очки.,Я сломал очки.
11177,Je cherche mes lunettes.,Я ищу свои очки.,Я ищу свои очки.,Я ищу свои очки.
11178,Quelle est la température ?,Какая температура?,Какая температура?,Какая температура?
11179,La température a soudainement baissé.,Температура внезапно понизилась.,Температура внезапно упала.,Вдруг температура упала.
11180,Laisse-moi prendre ta température.,Дай я померю тебе температуру.,Позволь мне взять твою температуру.,Позволь мне взять твою температуру.
11182,Nous étions sur le point de partir quand elle a téléphoné.,"Мы как раз собирались уходить, когда она позвонила.","Мы собирались уехать, когда она позвонила.","Мы уже собирались уйти, когда она позвонила."
11183,C'est la plus belle de toutes les photos dans mon album.,Это самая красивая из всех фотографий в моём альбоме.,Это самая красивая из всех фотографий в моем альбоме.,Это самая красивая из всех фотографий в моем альбоме.
11184,Tu as surpris tout le monde.,Ты всех удивил.,Ты удивил всех.,Ты удивил всех.
11185,J'ai été agréablement surpris.,Я был приятно удивлён.,Я был очень удивлён.,Я был очень удивлен.
11186,Cela a surpris de nombreuses personnes.,Это многих удивило.,Это удивило многих людей.,Многие люди удивились.
11187,Ses mots m'ont surpris.,Его слова удивили меня.,Его слова удивили меня.,Его слова удивили меня. - Да.
11189,"Je finirai ce travail dans une semaine, c'est-à-dire le 5 mai.","Я закончу эту работу через неделю, то есть пятого мая.","Я закончу эту работу через неделю, т.е. 5 мая.","Я закончу эту работу через неделю, 5 мая."
11190,Je suis désolé de t'avoir autant embêté.,"Прости, что доставил тебе столько неприятностей.","Мне жаль, что я так тебя напугала.","Прости, что так сильно тебя напугал."
11191,John joue au chat et à la souris avec Dick.,Джон и Дик играют в кошки-мышки.,Джон играет в кошку и мышь с Диком.,Джон играет в кошку и мышь с Диком.
11192,Il y avait seulement six personnes à la réunion.,На собрании было всего шесть человек.,На встрече было всего шесть человек.,На встрече было всего шесть человек.
11193,La mer était aussi lisse que le verre.,"Море было гладкое, как стекло.","Море было так же пусто, как выпивка.",море было как и стекло.
11195,"Pour aggraver les choses, il commença à pleuvoir.",В довершение ко всему пошёл дождь.,"Чтобы усугубить это, он начал плевать.","Чтобы успокоить все, он начал плевать."
11196,Nous vivons à la campagne durant l'été.,Летом мы живём за городом.,Мы живем в кампании летом.,Мы живем в кампании летом.
11197,Resteras-tu à la maison ce soir ?,Ты сегодня вечером дома останешься?,Ты остаешься дома сегодня вечером?,Ты сегодня будешь дома?
11198,Le lac était gelé.,Озеро замёрзло.,Озеро замерзло.,Лак замерз.
11199,Tu n'avais pas besoin de prendre un parapluie avec toi.,Тебе не нужно было брать с собой зонтик.,Тебе не нужно было брать с собой зонтик.,Тебе не нужно было с тобой пообщаться.
11200,Je suis gelé.,Я закоченел.,Я замерз.,- Я замерз.
11202,Je suis dans le pétrin.,У меня неприятности.,Я в сумке.,Я в пещере.
11203,Je préfèrerais marcher plutôt que d'attendre un bus.,"Я бы предпочёл пойти пешком, чем ждать автобус.","Я бы предпочел идти, а не ждать автобуса.","Я бы лучше пошел, чем ждал автобуса."
11205,Ce thé sent bon.,Этот чай вкусно пахнет.,Этот чай пахнет вкусно.,Это чаю пахнет.
11206,Viendra-t-il demain ?,Он придёт завтра?,Завтра он приедет?,Он завтра придет?
11208,Je veux étudier le français.,Я хочу изучать французский.,Я хочу изучать французский.,Я хочу изучать французский.
11210,Il y a un petit jardin devant ma maison.,Перед моим домом есть небольшой сад.,Перед моим домом есть маленький сад.,У меня дома маленький сад.
11211,Je lui ai donné quelques livres.,Я дал ему несколько книг.,Я дал ему несколько книг.,Я отдал ей пару книг.
11212,Tous les étudiants passent un test de conduite.,Все студенты проходят тест на вождение.,Все студенты проходят тест на поведение.,Все студенты проходят тест на поведение.
11213,Crois-tu en Dieu ?,Ты веришь в Бога?,Ты веришь в Бога?,Ты веришь в Бога?
11214,Combien y a-t-il d'œufs dans la cuisine ?,Сколько яиц на кухне?,Сколько яиц на кухне?,Сколько яиц на кухне?
11215,J'ai le regret de vous informer que votre candidature a été rejetée.,"К сожалению, вынужден сообщить, что Ваша кандидатура была отклонена.","Я с сожалением сообщаю вам, что ваша кандидатура была отклонена.","Мне очень жаль сообщить, что ваша кандидатура была отклонена."
11216,Ce lieu est pratique pour se baigner.,Это место удобно для купания.,"Это место удобно для того, чтобы сбежать.","Это место удобно для того, чтобы сбежать."
11217,Ma voiture a besoin d'être lavée.,Мою машину надо помыть.,Моя машина должна быть очищена.,Моя машина должна быть устала.
11218,Le feu dévora la ville.,Огонь уничтожил город.,Огонь поглотит город.,Взрыв поглотит город.
11219,Le chien qui a mordu l'enfant fut attrapé peu de temps après.,"Собака, укусившая ребёнка, вскоре после этого была поймана.","Собака, которая укусила ребенка, была поймала вскоре после этого.","С собакой, которая укусила ребёнка, вскоре поймал. - Да."
11220,Il ne faut pas réveiller le chien qui dort.,Не будите спящую собаку.,"Не надо разбудить собаку, которая спит.","Нельзя разбудить собаку, которая спит."
11221,Il est médecin.,Он врач.,Он врач.,Он врач.
11222,Elle me raccompagna gracieusement à la maison.,Она любезно проводила меня до дома.,Она безнаказанно привёз меня домой.,Она добровольно привёз меня домой.
11223,Son poids a doublé depuis 10 ans.,За последние десять лет его вес удвоился.,Его вес за последние 10 лет удвоился.,Он удвоил вес за последние 10 лет.
11225,"Tu aimes la pluie, n'est-ce pas ?",Ты ведь любишь дождь?,"Тебе нравится дождь, не так ли?","Тебе нравится дождь, да?"
11226,Aimes-tu le poisson ?,Ты любишь рыбу?,Ты любишь рыбу?,Ты любишь рыбу?
11227,Aimes-tu chanter ?,Ты любишь петь?,Ты любишь петь?,Ты любишь петь?
11228,Qu'aimes-tu ?,Что ты любишь?,Что ты любишь?,Что ты любишь?
11229,Le ciel est bleu.,Небо голубое.,Небо синий.,"О, небо синий."
11230,J'étais à Londres presque tout l'été.,Я почти всё лето был в Лондоне.,Я был в Лондоне почти летом.,Я был в Лондоне почти весь лето.
11231,Les découvertes scientifiques ne rendent pas toujours le monde meilleur.,Научные открытия не всегда делают мир лучше.,Научные открытия не всегда делают мир лучше.,Научные открытия не всегда делают мир лучше.
11232,Quand et où as-tu reçu le cadeau ?,Когда и где ты получил подарок?,Когда и где ты получил подарок?,Когда и где ты получил подарок?
11233,"Pour dire la vérité, je ne l'aime pas trop.","По правде говоря, я её недолюбливаю.","Если говорить правду, я не очень люблю ее.","Если говорить правду, я не очень люблю ее."
11235,Tu ne dois pas être en retard à l'école.,Ты не должен опаздывать в школу.,Ты не должен опоздать в школе.,Ты не должна опоздать в школе.
11236,"En 1912, le tailleur autrichien Franz Reichelt est mort en sautant du premier étage de la tour Eiffel alors qu'il voulait tester son invention, le manteau-parachute, qui n'a pas fonctionné...","В 1912 году австрийский портной Франц Райхельт погиб, спрыгнув с первого уровня Эйфелевой башни, при попытке испытать своё изобретение - плащ-парашют, который не раскрылся.","В 1912 году австрийский размер Franz Reichelt умер, так же, как и первый этаж Эффельской башни, когда он хотел проверить его изобретение, пальто-парашут, которое не сработало...","В 1912 году австрийский брюк Франц Рейчелт умер, так же как и первый этаж Эффельской башни, когда он хотел проверить его изобретение, пальто-парачу, которое"
11237,"Cette balle, est-elle la tienne ou la sienne ?",Это твой мяч или её?,Эта пуля - твоя или ее?,Этот мяч - твоя или ее?
11241,"Au Japon, la nouvelle année scolaire commence en avril.",В Японии новый учебный год начинается в апреле.,В Японии новый учебный год начинается в апреле.,В Японии новый учебный год начинается в апреле.
11242,N'oublie pas de m'appeler.,Не забудь позвонить мне.,Не забудь позвонить мне.,Забудь позвонить мне.
11243,Leurs noms m'avaient échappé.,Их имена вылетели у меня из головы.,Их имена сбежали от меня.,Их имена меня сбежали.
11244,Elle aime profondément son fils.,Она любит сына без памяти.,Она очень любит своего сына.,Она глубоко любит своего сына.
11245,C'est juste un rhume.,Это просто простуда.,Это просто ром.,Это всего лишь ром.
11246,Le commerce aide les pays à se développer.,Торговля помогает странам развиваться.,Торговля помогает странам развиваться.,Торговля помогает странам развиваться.
11247,Il refusa de me serrer la main.,Он отказался пожать мне руку.,Он отказался от моей руки.,Он отказался от меня.
11248,Il a une grande famille.,У него большая семья.,У него большая семья.,У него большая семья.
11249,Tu devrais te couper les cheveux.,Тебе нужно подстричься.,Тебе нужно порезать волосы.,Тебе надо подрезать волосы.
11251,Elle joue bien du violon.,Она хорошо играет на скрипке.,Она хорошо играет на скрипке.,Она хорошо играет в скрипку.
11252,"Appelez-moi entre sept et huit heures, s'il vous plaît.","Позвоните мне, пожалуйста, между семью и восемью часами.","Позвоните мне в 7-8 часов, пожалуйста.","Звоните мне в 7-8 часов, пожалуйста."
11253,La facture doit être payée aujourd'hui.,Счёт должен быть оплачен сегодня.,Счет должен заплатиться сегодня.,Начисляемый счет должен быть оплачен сегодня.
11254,Vous devez vraiment voir ce film.,Вам действительно стоит посмотреть этот фильм.,Вам правда нужно увидеть этот фильм.,Вы должны увидеть этот фильм.
11255,J'ai déjà lu ce livre.,Я уже прочитал эту книгу.,Я уже читал эту книгу.,Я уже читал эту книгу.
11261,Tu n'es plus un enfant.,Ты уже не ребёнок.,Ты больше не ребенок.,Ты больше не ребенок.
11262,Le vieil homme lui donna une petite poupée.,Старик дал ей куколку.,Старик дал ей маленькую куклу.,Старик дал ему маленькую куколку.
11263,Je ne peux pas voir les panneaux de signalisation avec ce brouillard.,Мне в этом тумане дорожных знаков не видно.,Я не могу видеть сигнальные знаки с этой туманой.,Я не могу видеть сигнальные знаки с этой туманой.
11264,Il me prit pour ma mère.,Он принял меня за мою мать.,Он взял меня за мою маму.,Он взял меня за маму.
11265,"Que fais-tu, papa ?","Папа, что ты делаешь?","Что ты делаешь, папа?","Что ты делаешь, папа?"
11266,Où as-tu passé tes vacances ?,Где ты провёл каникулы?,Куда ты прошёл каникулы?,Где ты был в отпуске?
11267,"Des garçons de ta classe, qui chante le mieux ?",Кто из мальчиков в твоём классе поёт лучше всех?,"Мальчики твоего класса, кто поёт лучше всего?","Мальчики из твоего класса, кто поёт лучше всего?"
11268,Tom a regardé la télé hier.,Том вчера смотрел телевизор.,Том вчера смотрел телевизор.,Том вчера посмотрел телевизор.
11269,Tu peux choisir n'importe quelle couleur que tu aimes.,"Ты можешь выбрать любой цвет, который тебе нравится.","Ты можешь выбрать любой цвет, который ты любишь.","Можешь выбрать любой цвет, который тебе нравится."
11270,Ceci est la maison où je suis né.,"Вот дом, где я родился.","Это дом, где я родился.","Это дом, где я родился."
11271,C'est la lettre écrite par M. Brown.,"Это письмо, написанное господином Брауном.",Это письмо мистера Брауна.,"Это письмо, которое написал мистер Браун."
11272,Ken se plaignit d'avoir mal à la tête.,Кен пожаловался на головную боль.,"Кен жалеет, что ему больно.","Кен жалеет, что больно голове."
11273,Vous ne devriez pas faire confiance à cet homme.,Вам не следовало бы доверять этому человеку.,Вы не должны доверять этому человеку.,Вы не должны доверять этому человеку.
11274,Qu'est-ce qu'il s'est passé ici ?,Что здесь произошло?,Что здесь произошло?,Что здесь произошло?
11275,Il a peu d'argent sur lui.,У него с собой мало денег.,У него мало денег на него.,У него мало денег.
11276,Ils s'intéressent beaucoup à l'astronomie.,Они очень интересуются астрономией.,Они очень заинтересованы в астрономии.,Они очень интересуются астрономией.
11277,Chat échaudé craint l'eau froide.,Пуганая ворона куста боится.,"""Чато-то"" боится холодной воды.",Ужасный чачо опасается холодной воды.
11280,Je suis allé me faire vacciner.,Я пошёл делать прививку.,Я пошёл на вакцину.,Я пошел за вакцинацией.
11281,"Elle a ouvert la fenêtre, alors que je lui ai dit de ne pas le faire.","Она открыла окно, хотя я сказал ей этого не делать.","Она открыла окно, когда я сказал ей не делать этого.","Она открыла окно, а я сказала ему не делать этого."
11282,"Grand prometteur, petit donneur.","Кто много обещает, тот мало делает.","Большой многообещающий, маленький донор.","Великолепный, маленький донор."
11283,Il écrit une longue lettre.,Он пишет длинное письмо.,Он пишет длинное письмо.,Он написал много писем.
11284,J'ignorais ton plan.,Я не знал о твоём плане.,Я не знал твоего плана.,"Я не знаю, как ты план."
11285,Nous le respectons en tant que notre dirigeant.,Мы уважаем его как руководителя.,Мы уважаем его как нашего лидера.,Мы уважаем его как нашего лидера.
11286,C'est pourquoi je le déteste.,Вот за что я его ненавижу.,Поэтому я ненавижу его.,Вот почему я ненавижу его.
11287,C'est un beau travail.,Прекрасная работа.,Хорошая работа.,Это отличная работа.
11288,Je suis content de t'avoir rencontré aujourd'hui.,"Я рад, что тебя сегодня встретил.","Я рад, что встретила тебя сегодня.","Рад, что встретила тебя сегодня."
11289,Qui est-ce ?,Это кто?,Кто это?,Кто это?
11291,Puis-je savoir où vous travaillez ?,"Можно узнать, где вы работаете?","Могу я знать, где вы работаете?","Можно мне знать, где вы работаете?"
11292,L'accident a failli lui coûter la vie.,Происшествие чуть не стоило ему жизни.,Авария чуть не повредила ему жизнь.,Авария чуть не потратила ему жизнь.
11293,Depuis combien de temps es-tu à Shanghai ?,Давно ты в Шанхае?,Как долго ты в Шанхае?,Как долго ты в Шанхае?
11294,Entrez !,Войдите!,Входите!,Заходите!
11296,Entrez.,Войдите!,Входите.,Заходите.
11297,Bienvenue !,Добро пожаловать!,Добро пожаловать!,Добро пожаловать!
11299,Je suis Jorge.,Я Хорхе.,Я Хорхе.,Я Хорхе.
11300,Il l'aime.,Он ее любит.,Он любит ее.,Он любит его.
11301,Après sept ans d'absence je suis revenu chez moi.,После семи лет отсутствия я вернулся домой.,После семи лет отсутствия я вернулся домой.,После семи лет без меня я вернулся домой.
11302,Je ferais mieux d'aller au lit maintenant.,Я лучше спать пойду.,Я лучше пойду в постель.,Я бы лучше пошел спать.
11304,Elle est aussi occupée que Tom.,"Она так же занята, как и Том.","Она так же занята, как Том.","Она так же занята, как Том."
11305,Son livre n'est pas seulement connu en Angleterre mais aussi au Japon.,"Его книга известна не только в Англии, но и в Японии.","Его книга не только известна в Англии, но и в Японии.","Его книга не только известна в Англии, но и в Японии."
11307,Il y avait une fille âgée de cinq ans dans la famille.,В семье была девочка пяти лет.,В семье была пятилетняя девочка.,В семье была пятилетняя девочка.
11308,Il a trois grandes sœurs.,У него три старших сестры.,У него три большие сестры.,У него три большие сестры.
11309,Je n'ai pas encore lu le journal du jour.,Я ещё не читал сегодняшнюю газету.,Я еще не читала газету.,Я пока еще не читала газету.
11310,Tu as l'air de t'ennuyer.,"Тебе, похоже, скучно.",Ты выглядишь скучным.,Ты выглядишь скучным.
11311,Son nouveau roman est devenu un best-seller.,Его новый роман стал бестселлером.,Его новый роман стал бешенцем.,Его новый роман стал драком.
11313,Un plan aussi enfantin est destiné à échouer.,Такой ребяческий план обречён на провал.,Такой маленький план предназначен для провала.,Такой маленький план предназначен для неудачи.
11314,Je l'ai vue se promener dans le parc à minuit.,"Я видел, как она прогуливалась по парку в полночь.","Я видела, как она ходила в парк в полночь.","Я видела, как она ходила в парк в полночь."
11315,Le prince tomba amoureux de la fille d'un bûcheron.,Принц влюбился в дочь лесоруба.,Принц влюбился в девушку бухона.,Принц влюбился в дочь бухона.
11317,Tous les garçons tombent amoureux de Julia.,Все парни влюбляются в Хулию.,Все мальчики влюблены в Джулию.,Все мальчики влюблены в Джулию.
11318,Je ferai tout ce que je pense être juste.,"Я буду делать всё, что считаю правильным.","Я сделаю все, что я думаю правильно.","Я сделаю все, что думаю, правильно."
11319,Elle refusa notre proposition.,Она отклонила наше предложение.,Она отвергла наше предложение.,Она отвергла наше предложение.
11321,Je veux le surprendre.,Я хочу его удивить.,Я хочу удивить его.,Я хочу его удивить.
11323,Une femme m'a demandé le chemin.,Какая-то женщина спросила у меня дорогу.,Женщина попросила меня идти.,Одна женщина попросила меня идти.
11324,Je l'ai vu il y a trois ans.,Я видел его три года назад.,Я видел его три года назад.,Я видел его три года назад.
11325,Je suis chanceux aujourd'hui.,Мне сегодня везёт.,Сегодня мне повезло.,Мне повезло.
11326,Le professeur sourit.,Преподаватель улыбнулся.,Профессор улыбается.,Учитель сурит.
11327,Ann vient de finir d'écrire son rapport.,Энн только что закончила писать свой реферат.,Энн только что написал свой отчет.,Энн только что написала свой отчет.
11328,Il était guidé par ses peurs.,Им руководили его собственные страхи.,Он руководствовался страхом.,Его боялись.
11330,T'es-tu battu avec Ken ?,Ты подрался с Кеном?,Ты боролась с Кен?,Ты избил Кен?
11332,Notre voiture est équipée de l'air conditionné.,Наша машина снабжена кондиционером.,Наша машина оборудована кондиционным воздухом.,Наша машина оснащена вентиляционным воздухом.
11334,"Étant très fatigué, j'allai me coucher tôt.","Так как я очень устал, я рано пошел спать.",Я устал. Я скоро уйду спать.,"Как я устала, я скоро уйду спать."
11335,Cela fait plus de trois ans depuis que j'ai emménagé ici.,"Прошло больше трёх лет с тех пор, как я сюда переехал.","Прошло более трех лет с тех пор, как я переехал сюда.","Прошло более трех лет с тех пор, как я переехал сюда."
11336,Tu devrais commencer aussi tôt que possible.,Тебе следует начать как можно раньше.,Ты должен начать как можно скорее.,Ты должен начать как можно скорее.
11337,Si seulement nous avions un jardin !,Если бы только у нас был сад!,Если бы у нас был сад!,Если бы у нас был сад!
11339,Cette boîte contient cinq pommes.,В этой коробке пять яблок.,Эта коробка содержит пять яблок.,В этом ящике есть пять яблок.
11340,Ton nom a été mentionné.,Твоё имя было упомянуто.,Твоё имя было упомянуто.,Тебя упомянули.
11341,Ta montre est sur le bureau.,Твои часы лежат на рабочем столе.,Твои часы на столе.,Твои часы на столе.
11344,"Je suis très fatigué, je veux me coucher plus tôt.","Я очень устал, хочу лечь пораньше.","Я очень устал, я хочу спать раньше.","Я устал, я хочу спать раньше."
11345,Nous partirons après-demain.,Мы уедем послезавтра.,Мы уедем послезавтра.,Мы уезжаем послезавтра.
11346,C'est le bordel dans ma chambre.,У меня в комнате бардак.,Это дерьмо в моей комнате.,Это чертовски в моей комнате.
11347,Il est assez âgé pour conduire une voiture.,"Он достаточно взрослый, чтобы водить машину.","Он достаточно стар, чтобы вести машину.","Он достаточно стар, чтобы вести машину."
11348,Combien ces lunettes ont-elles coûté ?,Сколько стоили эти очки?,Сколько очков они стоили?,Сколько этих очков они стоили?
11349,C'est bientôt mon anniversaire.,У меня скоро день рождения.,Скоро мой день рождения.,Скоро мой день рождения.
11351,Est-ce que tu as trouvé une quelconque bonne solution ?,Ты нашёл какое-нибудь хорошее решение?,Ты нашел какое-то хорошее решение?,Ты нашел какое-то хорошее решение?
11352,"Vu de loin, ça ressemble à une balle.",Издалека это похоже на мяч.,Это похоже на пулю.,Это похоже на пулю.
11353,L'astronomie traite des étoiles et des planètes.,Астрономия занимается звёздами и планетами.,В астрономии речь идет о звёздах и планетах.,астрономия касается звезд и планет.
11354,"Il était tard, donc je suis rentré chez moi.","Было поздно, и я пошёл домой.","Уже поздно, так что я вернулся домой.","Было поздно, поэтому я вернулся домой."
11355,J'ai pu obtenir le consentement de mes parents pour mon mariage.,Мне удалось получить согласие родителей на брак.,Я получил согласие родителей на свадьбу.,Я получила согласие родителей на свадьбу.
11356,Il m'a demandé de lui passer le sel.,Он попросил меня передать ему соль.,Он попросил меня отвезти ему соли.,Он просил меня пропустить ей соль.
11357,Il n'a pas encore repris conscience.,Он еще не пришел в сознание.,Он еще не понял.,Он еще не стал понимать.
11358,Je l'ai rencontré avant-hier.,Я встретил его позавчера.,Я встретила его до вчерашнего дня.,Я встретила его вчера.
11359,Peux-tu fermer la porte ?,Можешь закрыть дверь?,Можешь закрыть дверь?,Можешь закрыть дверь?
11360,Que signifie ce mot ?,Что значит это слово?,Что это значит?,Что означает это слово?
11362,Quand t'es-tu marié ?,Когда ты женился?,Когда ты женился?,Когда ты женился?
11363,"Si j'avais été libre, j'aurais pu t'aider.","Если бы я был свободен, я бы смог тебе помочь.","Если бы я был свободен, я бы мог помочь тебе.","Если бы я была свободна, я бы помог тебе."
11364,C'est la plus grande tour au Japon.,Это самая высокая башня в Японии.,Это самая большая очередь в Японии.,Это самый большой тур в Японии.
11365,Le courant est rapide par ici.,Течение здесь быстрое.,Тенденции быстро здесь.,Тонна быстро здесь.
11366,Il part toujours de chez lui à 7 heures.,Он всегда выходит из дома в семь.,Он все еще уезжает из дома в 7:00.,Он всегда уезжает из дома в 7:00.
11367,Merci de répondre à ma question.,"Пожалуйста, ответьте на мой вопрос.","Спасибо, что ответил на мой вопрос.","Спасибо, что ответила на мой вопрос."
11369,À chacun ses goûts.,На вкус и цвет товарищей нет.,На всех его вкусах.,На всех его вкусах.
11370,La viande est bien rôtie.,Мясо хорошо прожарено.,Мясо отлично отремонтировано.,Мясо хорошо застряло.
11371,La bougie s'est éteinte d'elle-même.,Свеча сама погасла.,Свечи выключили из себя.,Свеча сама погасла.
11372,Baignade interdite.,Купаться запрещено.,Запрещается.,Запрещаю.
11373,Son fils est mort l'année dernière.,Его сын умер в прошлом году.,Его сын умер в прошлом году.,В прошлом году его сын умер.
11375,Les gens l'ont souvent dit à ma mère.,Люди часто говорили это моей матери.,Люди часто говорили маме об этом.,Люди часто так говорили моей маме.
11376,J'ai construit une nouvelle maison à mon fils.,Я построила своему сыну новый дом.,Я построил новый дом у своего сына.,Я построила новый дом у своего сына.
11377,Ces prunes sont mûres.,Эти сливы спелые.,Эти пузырьки зрелые.,Эти крысы созрели.
11378,Je viendrai te voir quand j'irai mieux.,"Я приду навестить тебя, когда буду чувствовать себя лучше.","Я приду к тебе, когда пойду получше.","Я приду к тебе, когда пойду лучше."
11379,"S'il connaissait son numéro de téléphone, il pourrait l'appeler.","Если бы он знал номер его телефона, он мог бы ему позвонить.","Если бы он знал его номер телефона, он мог бы позвонить ему.","Если бы он знал его номер телефона, он мог бы позвонить ему."
11381,J'aimerais avoir un verre de vin.,"Мне, пожалуйста, стакан вина.",Я бы хотел выпить вина.,Хотела бы я выпить вина.
11382,Je pense que tu te trompes.,"Я думаю, что ты ошибаешься.","Думаю, ты ошибаешься.","Думаю, ты ошибаешься."
11384,Je suis presque aussi grand que mon père maintenant.,"Я сейчас почти такого же роста, как мой отец.","Я почти такой же взрослый, как и мой отец.","Я почти такой же взрослый, как и мой отец."
11385,Une voiture a un volant.,У автомобиля есть руль.,У машины есть руль.,У машины есть руль.
11386,Elle a perdu le peu d'argent qu'elle avait.,"Она потеряла те немногие деньги, которые у неё были.","Она потеряла немного денег, что у неё было.",Она потеряла немного денег.
11387,"C'était un homme gentil, comme je l'ai découvert plus tard.","Он был милейшим человеком, как я позже понял.","Он был хорошим человеком, как я узнал позже.","Он был хорошим человеком, как я узнал позже."
11388,Ce papier n'absorbe pas l'encre.,Эта бумага не впитывает чернила.,Эта бумага не стирает чернила.,Эта бумага не хватает чернила.
11389,Tu n'as pas besoin de te lever tôt.,Тебе необязательно рано вставать.,Тебе не нужно рано вставать.,Тебе не нужно рано вставать.
